t ax ay az wx wy wz
3.3200 4.9645192 9.0300242 -0.3125365 -0.4165666 -0.6074065 -1.2428060
3.3400 4.9904486 9.0396076 -0.3086613 -0.4555130 -0.6148830 -1.2132762
3.3600 5.0048091 9.0490505 -0.3050084 -0.4938457 -0.6222675 -1.1834658
3.3800 5.0073710 9.0583654 -0.3016068 -0.5315277 -0.6295515 -1.1534056
3.4000 4.9996324 9.0674093 -0.2988473 -0.5685234 -0.6367268 -1.1231264
3.4200 4.9801280 9.0763396 -0.2961911 -0.6047983 -0.6437854 -1.0926596
3.4400 4.9502097 9.0850407 -0.2939360 -0.6403195 -0.6507191 -1.0620365
3.4600 4.9102412 9.0934817 -0.2923317 -0.6750554 -0.6575198 -1.0312886
3.4800 4.8595263 9.1017805 -0.2907136 -0.7089759 -0.6641795 -1.0004477
3.5000 4.7988894 9.1098671 -0.2894930 -0.7420523 -0.6706903 -0.9695453
3.5200 4.7292128 9.1176914 -0.2888032 -0.7742576 -0.6770445 -0.9386132
3.5400 4.6497752 9.1253708 -0.2881514 -0.8055664 -0.6832344 -0.9076831
3.5600 4.5617967 9.1328130 -0.2880141 -0.8359548 -0.6892523 -0.8767863
3.5800 4.4653999 9.1400618 -0.2881374 -0.8654007 -0.6950908 -0.8459543
3.6000 4.3604642 9.1471781 -0.2883117 -0.8938836 -0.7007427 -0.8152182
3.6200 4.2484155 9.1540622 -0.2890499 -0.9213846 -0.7062007 -0.7846090
3.6400 4.1288240 9.1608274 -0.2897807 -0.9478868 -0.7114578 -0.7541571
3.6600 4.0026947 9.1674171 -0.2909159 -0.9733749 -0.7165073 -0.7238930
3.6800 3.8701483 9.1738843 -0.2922342 -0.9978353 -0.7213425 -0.6938464
3.7000 3.7316909 9.1802432 -0.2936906 -1.0212562 -0.7259568 -0.6640468
3.7200 3.5877947 9.1865076 -0.2953126 -1.0436276 -0.7303441 -0.6345230
3.7400 3.4389934 9.1926946 -0.2970244 -1.0649414 -0.7344982 -0.6053035
3.7600 3.2862673 9.1987565 -0.2992656 -1.0851910 -0.7384134 -0.5764160
3.7800 3.1286795 9.2048771 -0.3010536 -1.1043718 -0.7420840 -0.5478877
3.8000 2.9683940 9.2108884 -0.3033920 -1.1224808 -0.7455047 -0.5197452
3.8200 2.8051387 9.2168935 -0.3058100 -1.1395168 -0.7486703 -0.4920141
3.8400 2.6388623 9.2229667 -0.3080211 -1.1554805 -0.7515759 -0.4647197
3.8600 2.4709775 9.2290284 -0.3105191 -1.1703740 -0.7542170 -0.4378861
3.8800 2.3014424 9.2351534 -0.3129860 -1.1842013 -0.7565893 -0.4115368
3.9000 2.1309157 9.2413402 -0.3155137 -1.1969681 -0.7586886 -0.3856944
3.9200 1.9600958 9.2475833 -0.3182019 -1.2086816 -0.7605113 -0.3603806
3.9400 1.7882869 9.2540162 -0.3204706 -1.2193507 -0.7620538 -0.3356161
3.9600 1.6179645 9.2604520 -0.3232953 -1.2289857 -0.7633131 -0.3114208
3.9800 1.4473938 9.2671211 -0.3256556 -1.2375988 -0.7642862 -0.2878134
4.0000 1.2785104 9.2738960 -0.3281303 -1.2452032 -0.7649708 -0.2648119
4.0200 1.1111513 9.2808377 -0.3306023 -1.2518141 -0.7653644 -0.2424330
4.0400 0.9456201 9.2879762 -0.3328856 -1.2574475 -0.7654654 -0.2206924
4.0600 0.7825475 9.2952915 -0.3352079 -1.2621214 -0.7652721 -0.1996047
4.0800 0.6222660 9.3028041 -0.3374391 -1.2658545 -0.7647834 -0.1791835
