t lat lon h Vxg Vyg Vzg pitch roll tHdg
2.8200 37.6170552 -122.3662657 31.5194038 12.4379122 -0.9898509 -21.5134231 4.9354339 4.0033392 294.9643209
2.8400 37.6170574 -122.3662705 31.4992425 12.4435180 -1.0080670 -21.5199336 4.8989396 4.0156359 294.9702876
2.8600 37.6170596 -122.3662754 31.4787268 12.4514846 -1.0257811 -21.5309390 4.8627349 4.0271316 294.9764133
2.8800 37.6170619 -122.3662803 31.4578670 12.4617753 -1.0429941 -21.5463646 4.8268360 4.0378173 294.9827018
2.9000 37.6170641 -122.3662852 31.4366728 12.4743499 -1.0597088 -21.5661312 4.7912590 4.0476845 294.9891564
2.9200 37.6170664 -122.3662901 31.4151542 12.4891620 -1.0759291 -21.5901239 4.7560198 4.0567260 294.9957805
2.9400 37.6170686 -122.3662950 31.3933210 12.5061571 -1.0916607 -21.6182503 4.7211339 4.0649353 295.0025772
2.9600 37.6170709 -122.3662999 31.3711828 12.5252756 -1.1069106 -21.6503825 4.6866167 4.0723067 295.0095496
2.9800 37.6170731 -122.3663048 31.3487490 12.5464537 -1.1216871 -21.6863840 4.6524830 4.0788358 295.0167004
3.0000 37.6170754 -122.3663097 31.3260290 12.5696207 -1.1359999 -21.7261179 4.6187477 4.0845187 295.0240323
3.0200 37.6170776 -122.3663147 31.3030318 12.5947023 -1.1498596 -21.7694345 4.5854248 4.0893526 295.0315477
3.0400 37.6170799 -122.3663196 31.2797663 12.6216187 -1.1632784 -21.8161838 4.5525285 4.0933359 295.0392491
3.0600 37.6170822 -122.3663246 31.2562409 12.6502853 -1.1762689 -21.8661805 4.5200721 4.0964674 295.0471384
3.0800 37.6170845 -122.3663296 31.2324640 12.6806167 -1.1888452 -21.9192706 4.4880689 4.0987474 295.0552176
3.1000 37.6170867 -122.3663345 31.2084436 12.7125204 -1.2010219 -21.9752642 4.4565316 4.1001767 295.0634883
3.1200 37.6170890 -122.3663395 31.1841873 12.7459013 -1.2128146 -22.0339763 4.4254723 4.1007572 295.0719521
3.1400 37.6170913 -122.3663445 31.1597025 12.7806645 -1.2242396 -22.0952258 4.3949030 4.1004918 295.0806102
3.1600 37.6170936 -122.3663496 31.1349962 12.8167075 -1.2353137 -22.1588014 4.3648350 4.0993841 295.0894637
3.1800 37.6170959 -122.3663546 31.1100751 12.8539303 -1.2460542 -22.2245221 4.3352791 4.0974388 295.0985134
3.2000 37.6170983 -122.3663597 31.0849455 12.8922279 -1.2564790 -22.2921718 4.3062457 4.0946615 295.1077599
